jeweils	at a time
gerade	direct; even; just; just as; just now; right; straight; straightly; unbowed; even
Mitte	center [Am.]; centre; centre [Br.]; middle; midway
Heinrich	
eigentlich	actual; actually; intrinsic; rather; virtual
alten	
Begründung	substantiation
will	
je	ever; per
ca	
musste	
verschiedenen	
tätig	acting; active; busy
Haus	home; house; interoffice
sechs	six
damals	at that time; at the time when
darüber	over it
Verein	club; society; union
wenig	few; less; little (less, least); sparse
erfolgte	
Gesellschaft	assn; association; companion; companionship; company; corporation; party; society
Gebäude	building; buildings; edifice
handelt	agitates; deals; trades
vielen	a lot of
Region	region
möglich	possible; possibly
stehen	to stand; to become {became, become}
Paris	
Kilometer	kilometre
Grund	base; bottom; cause; causing; ground; master; matter; reason; territorially
Disk	
anschließend	following
sehen	to behold; to look (at, on); to see; to see how the wind blows; to see {saw, seen}; to spot; to view
Thema	subject; theme; topic
Rolle	character; part; role; roll; roller
Text	lyrics; text; words; textual
John	
Prozent	per cent; percent; percentage
blieb	
Paul	
Vater	begetter; father
Hamburg	
Weg	away; off; alley; lane; path; road; way
jeder	all; any; anybody; anyone; each; eachone; every; everybody
gewählt	chose; chosen; dialed; elected
sowohl	and
Kinder	children; infants; kids
Nr	no.
stark	heavy; intense; strong
zweite	second
dir	
Bau	building; fabric
Rahmen	border; edge; frame; frames; framework; husk; scope; skid; welt; welts
sogar	actually; even; yet
Spielen	to perform; playing
folgenden	
gesperrt	barricided; closed; inaccessible; locked
meine	
Richtung	course; direction; line; route; trend
org	
Werk	
gegenüber	across from; fornent; opposite; opposite to; over the way; via
Einwohner	habitant; inhabitant; inhabitants
deutlich	articulately; bold; clear; clear cut; conspicuous; distinct; distinct (from); explicit; lucid; notedly; obvious; perspicuous
wechselte	
Tochter	daughter
deutsch	German
Buch	book; quire
somit	consequently
weniger	fewer; less; lesser
müssen	have got to; must; to be obliged; to have to; to want
oben	above; ahead; aloft; at the head; at the top of; supra; top; up; upstairs
Amt	bureau; charge; duty; function; office; post; task; trunk
deshalb	hence; therefore
erreichte	achieved; attained; reached
Frankfurt	
pro	per
kommen	come; to cum; to come {came, come}
beispielsweise	for instance
Österreich	Austria (at)
Mannschaft	crew; team; workmanship
Schule	school; schoolhouse
weiß	knows; whitely
übernahm	took over; undertook
Album	album
Stunden	hours
entstand	arose; came into being
London	
Folge	consequence; sequel; sequence; sequitur; series; succession; suite
wirklich	actual; actually; genuine; intrinsic; intrinsically; objective; real; really; sure enough; truly; very
Entwicklung	development; evaluation; evolution; growth
Norden	north
gar	
Landkreis	
eingesetzt	set in
Stelle	digit; location; place; post; spot; stead
sollten	should
Musik	music
teilweise	halfway; in part; partial; partially; particularly; particulary; particulate; partly
erneut	
natürlich	artless; elemental; natural; naturally; of course; unstudied; unstudiedly
genau	accurate; accurately; correctly; exact; exacting; exactly; just; minutely; pedantic; precise; precisely; properly; right; strict
Frankreich	France; France (fr); Metropolitan (fx)
Weltkrieg	world war
Franz	
lässt	lets
Arbeiten	workings; to act; to work; to go {went, gone}
solche	such
errichtet	constitutes; erected; erects; established; establishes; founds; raised
Partei	party
links	left; on the left
kleine	little one; peewee
hin	
Michael	
zeigt	an indicates; displays; exhibits; illustrates; indicated; shows; tells
Tage	days; days
Wer	who; who
jemand	anybody; anyone; somebody; someone
hätte	
zahlreiche	multitudinously; numerous; numerously; umpteen
konnten	
Millionen	millions
meisten	
eigene	own
Mann	husband; man
verschiedene	deserve; miscellaneous; several; sundry; umpteen; various
Seiten	sides; edges; pages; sides
Beiträge	contributions
gemeinsam	common; commonly; concertedly; conjoint; consolidated; in common; joint; mutual; mutually; together
Einsatz	encouragement; insert; inset; jackpot; stake
Thomas	
www	
heutigen	
französischen	
Kreis	circle; circuit; cycle; district; ring; orbital
obwohl	although; even though; tho; though
darunter	beneath; thereunder; under; under it
Quellen	founts; sources; wellsprings
ehemaligen	
Georg	
Süden	south
besser	better; superiorly
ebenso	alike; also; equally; just as; likewise
Stuttgart	
ließ	
Provinz	province
direkt	direct; directly; firsthand; immediate; immediatly; one-level; random; randomly; squarely; straight; straightly
Dorf	cottage; village
erschien	appeared
bisher	hitherto; so far; up to now
Beginn	advent; beginning; dawn; inception; start
Version	version
Tag	day
Frauen	females; signoras; wives; womankind; women
aller	
kleinen	
Online	
häufig	frequent; frequently; often; prevalently; rids
warum	why
zuvor	afore; beforehand
Staaten	countries; states
Martin	
Alter	antiqueness; age; seniority
bestand	existed
stellen	to put; to set {set, set}; to stick; to lay {laid, laid}; locations; placement; steads
to	
Krieg	war; warfare
ihnen	you; them
Leipzig	
gemacht	made
Jahres	
Spiel	game; match; play
Köln	Cologne
Auflage	coating; condition; impost; layer; lining; requirement; rest; support
Lemma	
dadurch	thereby; thus
einigen	to unite
ursprünglich	orginally; original; primary; primordial; pristine
sicher	assuredly; certain; certainly; easily; for sure; prof; proof; safe; safely; secure; securely; sure; surely; unendangered; unharmful; unmistaken
stellt	
Osten	east; orient
Museum	museum
erwähnt	mentioned; mentions
entfernt	away; disconnected; dislodges; distant; distantly; off; remote; remotely; removed; removes
erster	first
Regierung	government; regimen
Schweiz	Switzerland (ch)
Höhe	altitude; height; highness; level
Burg	castle
veröffentlicht	published; publishes
gehören	to appertain; to pertain
Westen	occident; waistcoats; west
Reihe	tandem; array; bank; column; file; line; line-up; rank; row; sequence; series; set; tier
klar	articulative; bold; bright; clear; clear cut; clearly; evident; intelligibly; lucid; lucidly; perspicacious; perspicuous; perspicuously; serenely; unobscured; vivid; yeah
Serie	sequence; series
Europa	europe
Maria	
daß	
gleichen	equally; to resemble
Ernst	austere; earnest; gravelly; serious; seriously; severe; solemn; stern; sternly; unsmiling; earnestness; seriousness
Bevölkerung	population
International	internationally
Sprache	language; speech; tongue
Professor	professor
Ludwig	
gelöscht	blanked; canceled; cancelled; erased; extinguished; killed; quenched; scratched; slaked
gleich	alike; equal; equally; in a moment; like; pair; right; same; similar; I'm on my way!
Problem	business; problem; trouble
internationalen	
weiterhin	anymore; beyond; further on; furthermore
hinter	abaft; after; behind; rearward; after; rear
sieben	seven; to riddle; to sieve; to sift; sifting
Le	
hinaus	onto; out
Hilfe	aid; assistance; help; relief; succor
zog	drew; hauled; pulled
Team	
gewesen	been
Literatur	literature
eben	even; level; now; planar
Kunst	art; skill; trick
Betrieb	operation; prosecuted; bustle; carried on; deadausser; firm; mode; operating; operation; service
Insel	insular; island
Gruß	greeting; salutation
laut	according to; aloud; loud; unquiet; uproarious
amerikanischen	
Bezeichnung	appellation; denotation; designating; designation; notation
starb	
letzte	endmost; hindmost; last; laste; latest; latter; least; ultimate
zehn	ten
sollen	shall
vermutlich	assumedly; presumable; presumably; presumedly; probable; probably; probagly; supposable
nie	hardly ever; never
lediglich	entirely; merely
Politiker	politician
geboren	born
erreicht	achieves; attains; reached; reaches
kaum	barely; hardly; little (less, least); scarcely
Werke	
Mitglieder	vigilantes
Gemeinden	communities; parishes; townships
Wasser	eau; water; aquatic
folgte	ensued; followed
Robert	
weit	afar; ample; far; large; long; wide; widely
alte	anciently
acht	eight
et	
Link	
meiner	mine
liegen	to lie {lay, lain}; recumbency
hast	scurries; haste; hurry; precipitancy; precipitation; rashness
einzige	
Mutter	mom; mommy; mother; nut
scheint	seems; shines
sehe	
Beitrag	article; contribution; due
Meinung	idea; mind; opinion; sentence
Berliner	
bevor	before; ere
geben	to give {gave, given}
Dr	
sieht	sees; views
genutzt	
uns	ourselves; us
trotz	despite; in spite of
Sitz	fit; seat
Ziel	aim; designation; destination; end; object; target
Autor	author; writer
gleichzeitig	at the same time; coeval; coevally; coincident; concurrent; concurrently; contemporaneous; simultaneous; simultaneously; synchronous
lag	
en	
dritten	
Spieler	gambler; gamblers; gamester; player; players
leider	alas; Worse luck!
for	
mehreren	
Preis	all in price; charge; cost; fee; price; prize; purchase
Christian	
wollte	would
stellte	
welches	that; which; who
tun	doing; to do; to do {did, done}
befinden	to decide; (state of) health
paar	couple; pair; twosome
aufgenommen	absorbed; affiliated; recorded
heißt	is called
entstanden	accrued; originated
Danke	thank you; thanks; thanx; thank
al	
gefunden	encountered; finding; found; funds
Linie	curve; line
schrieb	scribed; wrote
kamen	
on	
machte	moored
Regel	norm; norma; rule
Sommer	summer
per	per
Strecke	line; route; stretch; way
zumindest	at least
völlig	absolute; arrant; complete; consummately; downright; entirely; full; fully; stark; total
mini	
enthält	abstains; comprises; contain; contains; continues; encloses; invoke; maintains
System	system
setzte	
besuchte	visited
überhaupt	at all; generally
Armee	army
Ehe	before; ere; marriage; matrimony; wedlock
Raum	range; room; space; cubically
stammt	
Person	valentine; character; person
Projekt	project
Chr	
Arten	types
Main	
gegeben	gave; given
gelang	panned; succeeded
Otto	
Liga	division; league
europäischen	
Grüße	greetings; regards; remembrance; salutations
gestellt	putting
Johannes	
Vertrag	agreement; contract; convention; indenture; pact; treaty
Google	
Bahnhof	railway; station
Teile	members; particles; parties; partitions; parts; portions; tracts
cm	
Fragen	to ask; to interrogate; to query; to request; queries; questions
schnell	apace; fast; hurry; quick; quickly; rapid; rapidly; rapids; slippy; speedily; speedy; swift; swiftly; rapid
Quelle	fount; source; sourse; spring; wellspring
Karriere	career
Baden	to bathe; to imbrue; to take a bath
Kaiser	emperor
Klasse	class; grade
Nähe	adjacencies; closeness; contiguousness; nearness; propinquity; proximity; vicinage; vicinity
hab	
einzelnen	
Verbindung	alliance; association; catenation; chaining; compound; conjunction; connection; connexion; fusion; incorporation; interconnection; interface; joint; junction; liaison; link
Informationen	blurb; information
sonst	else; or else; otherwise
bleibt	abides; persists; remains; residents; resides; stays
Präsident	governor; president
anders	else
National	national; nationally
dich	thee
Erfolg	prosperity; prosperousness; success
Carl	
hohen	
besten	bests; greatest
Bischof	bishop
Bruder	brother
wissen	to aware; to know {knew, known}; knowledge; veda
Institut	institute
ganze	entire; whole; entirety; whole
südlich	austral; south; southerly; southern
Bilder	imagery; images; pictures; tableaus
inzwischen	in the meantime; meantime; meanwhile
Uhr	clock; ticker; timepiece; watch
benannt	labeled
früher	anterior; earlier; former; formerly; in the past; prior; quondam; sooner
möchte	would like to
geschrieben	edited; prewritten; typed; written; wrote
Studium	scholastics; study
führen	conduct; shepherding; to guide; to lead {led, led}; to go {went, gone}
Bd	
Euro	
Spiele	games
tatsächlich	actual; actually; as a matter of fact; defacto; in fact; indeed; real; virtual
daraufhin	thereupon
spielt	
zusätzlich	accessorily; accessory; added; additional; additionally; additive; auxiliary; backing; in addition; other; side-bar
schreiben	writing; to write {wrote, written}
Saint	
Joseph	
West	
dargestellt	personated
rechts	on the right; right; to the right
Abschnitt	article; chapter; episode; paragraph; section; segment
gerne	gladly
Bayern	Bavaria
nördlich	north; northerly; northern
finde	
Bad	bath; spa
gründete	founded; instituted
van	
County	
politischen	
Sachsen	Saxons
dar	
mindestens	at least
di	
groß	ample; big; bigly; capital; capitalized; great; heavyset; large; largely; sizable; sizably; tall; large-capacity; large-scale
Artikels	
Reich	affluent; affluently; prolific; reach; rich; wealthily; wealthy; empire; realm
mm	
mein	mine; my
wiki	
Schweizer	
nahe	close (to, by); contiguous; near; nigh
Kloster	convent; monastery; monastry
darf	may
San	
etc	
vorhanden	available; exists; present
werde	
selben	
Vereinigten	
größten	
ihres	
anderer	other
Wort	mot; vocable; word; keyword
wahrscheinlich	likely; prob; probability; probable; probably
erreichen	to achieve; to attain; to get; to obtain; to reach [for]
Zeitschrift	journal; magazine
Theater	theatre; theatres; [Am.] theater; [Am.] theaters
Zahl	digit; figure; number
Firma	company; concern; employer; firm
Zusammenhang	coherence; connection; context; contiguity
Richard	
richtig	aright; correct; correctly; duly; exact; justly; proper; properly; right; rightfully; rightly; true; unmitigated; unmitigatedly
Wahl	choice; election; electoral; option
Darstellung	embodiment; phantom; picture; presentment; representation; statement
dagegen	against; against it
wenige	few; sparsely
Wolfgang	
veröffentlichte	published
Lage	position; site; situation
Kultur	civilization; culture
Hälfte	half; moiety
Nachfolger	follower; successor
gewünscht	desired; wanted; wished
politische	politically
gehen	to ambulate; to walk; to go {went, gone}; going
deine	yours; yours
ehemalige	
Meister	adept; champion; foreman; masters
jede	any; each
gebaut	bodied; built
Landes	
Truppen	
Olympischen	
England	
nächsten	
Hermann	
sagen	to tell {told, told}; to say {said, said}; sagas
amerikanischer	
Grenze	border; boundary; limit; peripherie
Italien	Italy (it)
größte	biggest; greatest; largest; major; ultralarge
Mitarbeiter	assistant; colleague; contributor; cooperator; assistants
Ausbildung	education; instruction; off the job training; schooling; training
absolvierte	
entwickelt	developed; developes; develops; educes; envelopes; evolves
Graf	earl
Stil	style
britischen	
Funktion	derivative; function; funktion; role; waveform
Besitz	possession; to acquire property; domain; holdings; possession; property; tenure
bald	presently; shortly; soon
Länge	footage; len; length; longitude; tallness
Gründung	flotation; foundation
ernannt	appointed; deputized
daran	at it
David	
Republik	republic
französische	
Bahn	alley; course; pathway; railway; tram; web
besitzt	owns; possesses
Vorlage	artwork; bill; pattern; submittal
entwickelte	developed; educed; evolved
bildet	educates; nach emulates
hohe	high
leicht	easily; easy; facile; facilely; gossamerly; light; lightly; lightweight
englischen	
Autoren	authors
darin	in it; therein
Künstler	artist; longhair; artists
gmbh	
Wiener	
zuletzt	at last; last; lastly
damaligen	
durchaus	absolutely; by all means
Akademie	academy
Ortsteil	
Walter	
bestehen	insist; to consists; to exist
Roman	novel
allein	alon; alone; reclusive; unescorted
verbunden	adjunctive; adjuratory; aligned; associated; chained; conjoined; conjoint; connected; incorporated; joined; joint
diente	conduced
umfasst	comprises; enfolds
Gegensatz	antagonism; anticlimax; antithesis; complement; contradistinction; contrast; opposition
Hannover	
Max	
League	
Alexander	
frühen	
See	naval; lake; ocean; sea
index	index; indices
Folgen	results; sequels; sequences; sequiturs; successions; suites; succeeding; to ensue; to follow; to succeed
wollen	to want; to will
welcher	that; which; who
Zeitung	newspaper; paper
City	
aktiv	active; actively
Archivierung	
Anzahl	count
kehrte	
Falls	if
Einwohnern	
Sinne	senses; significations
englisch	English; English
Abschnittes	
ähnlich	akin; alike; analogical; like; likely; likewise; related; similar; similarly; simular
historischen	historically
internationale	
befand	
Herrschaft	dominion; lordship; masteries; mastery; regimen; rule
Dresden	
bleiben	abided; abode; to remain; to rest; to stay; to abide {abode, abided}
General	
belegt	allocates; busy; engaged; occupied; overlays
Möglichkeit	chance; contingency; eventuality; facility; possibility; potentiality
Verwendung	application; assignment; disposition; usableness; usage; utilization
Weise	refer; sapient; wise; wisely; air; manner; sage; tune; way; wise man
Zentrum	center [Am.]; centre [Br.]
gute	
knapp	bare; barely; concise; concisely; curt; curtly; lean; narrow; scant; scantily; scantly; scanty; scarce; scarcely; scrimpy; skimpily; skimpy; stinted; terse; tersely
Minuten	minutes
Punkt	dot; item; point; punctilio; spot
Daneben	aside; beside it
falsch	cattish; cattishly; fake; false; falsely; improper; incorrect; insincere; invalid; nonfactual; phony; unsounded; wrong; wrongly
jeden	
Artikeln	
außer	beside; besides; except; except (for); outside; save
österreichischen	
her	
Zürich	
entsprechend	according; according to; accordingly; adequate; analogical; appropriate; complying; congruent; congruous; considering; correlative; correspondent; corresponding; homologous; obverse; pertinent
Produktion	production
indem	
versucht	attempted; attempts; tempts; tries
dennoch	all the same; anyhow; however; nevertheless; still; yet
Schlacht	battle; fight
Leitung	conduction; cords; direction; main; management; pilotage; pipeline; route
Sieg	victory
Leiter	ladder; leader; manager; superintendent; superintendents
weder	neither; weather
erkennen	to detect; to discern; to perceive; to realize
William	
ausschließlich	excessive; exclusive
heraus	forth; out; out here
schwer	big; difficult; hard; heavy; weighty
Verfügung	decree; disposal; domain
Zeitpunkt	date
späteren	
http	
ersetzt	compensates; replaced; replaces; substituted; substitutes; supersedes; surrogates
heiratete	
geführt	guided; led
Verfahren	mode; operation; procedure; technique; treatment
Rom	
beteiligt	enlists
World	
hauptsächlich	chief; chiefly; generally; main; mainly; major; mostly; primal; primarily; principally
Josef	
halte	retaining
genannten	
com	
Regie	
Heiligen	hallow; sanctify; saints
Jean	
fest	consistent; fast; fexed; firm; firmly; fix; fixated; moored; non-varying; proof; solid; steadfast; steady; sturdy; tight; tighten; tightly; celebration; feast; festival; festive
Zuge	
Daten	data; data; dates
gesamte	
öffentlichen	
Hinweis	clue; consideration; evidence; hint; index; reference; tip
zahlreichen	
Rennen	to run {ran, run}; race
Angaben	data; statements
östlich	east; easterly; eastern; eastwardly; oriental; orientally
Gruppen	groups; bands; groups; squads; terns
Press	
westlich	occidental; occidentally; westerly; western
alt	ancient; anciently; antiquarian; old; oldly
vollständig	absolutely; complete; completed; completely; entire; full; fully; outright; quitely; thorough; total; totally
folgende	following; proximately; sequentially
relativ	relative; relatively
Wochen	weeks
Gründen	to build; to establish; to found; to institute; to plant
Admin	
Andreas	
Park	park
jungen	boys
reicht	reaches
Polen	Poland (pl)
Position	position
großer	
Kategorien	categories
Ergebnis	effect; issue; outcome; result; resulting; sum; upshot
Wert	worth; account; sign; ups; value; virtue; worth; worthiness
Nord	north
Vorsitzender	
nimmt	an assumes; cashes; takes
Kritik	criticism; cutup; review
halten	to clamp; to halt; to hold {held, held}; to keep {kept, kept}; to retain; to uphold; to bear {bore, borne}
Politik	politics
selten	once in a blue moon; scarce; seldom
Runde	rotundly; round; beat; bout; round
Fläche	acreage; area; expanse; face; flat; surface
wiederum	against
erklärt	declared; declares; explained; explains; expounds; melds; professes
Stiftung	
Berg	mount; mountain
China	china; China (cn)
beträgt	amounts
Hochschule	university
derzeit	at present; at the moment
dritte	third; third
erfolgreich	prosperous; prosperously; successful; successfully; triumphant
nehmen	take; to take {took, taken}
erfolgt	
php	
hoch	elevated; high; high; highly; loftily; lofty; trebly; up
Ausgabe	disbursement; expense; issuance; issue; release; version
Satz	clause; dart; jerk; phrase; record; sentence; set
James	
George	
Division	division
bietet	an offers; bids; offers
gesehen	looked; saw; seen; viewed
Union	
bilden	to build; to form; to frame; to pattern
fanden	
Leute	folks; gentry; people; folks!; hi
neues	
Schüler	disciple; disciples; pupil; pupils; schoolboy; schoolboys; sophomore
genommen	kept; picked; taken; took
brachte	
Unterstützung	assistance; backing; promotion; relief; support
Rang	wrestled; degree; grade; rank; state
frei	clear; free; freed; freely; nonattached; spare; uncommitted; unengaged; unengagedly; unenslaved; unfettered; unrestricted; untrapped; wheeling
American	
mittlerweile	meanwhile
verloren	doomed; gone; irrecoverable; lost
langen	
Rudolf	
Vertreter	agent; deputy; exponent; proxy; stand-in; substitute
außerhalb	exterior; out; outboard; outlying; outside
trotzdem	all the same; anyhow; even so; nevertheless; nonetheless
Stimmen	to attune; voices
zeigen	shown; to evince; to exhibit; to indicate; to offer; to point; to show {showed, showed}
entweder	either
bedeutet	connotes; matters; means; signifies
übrigens	by the way
erscheint	appears; arises; occurs; seem
fort	along; away; begone; gone; off
neun	nine
Probleme	problems
Männer	males; men
Sinn	acceptation; meaning; mind; sense; signification
jedem	
ausgezeichnet	distinguished; excellent; ticketted
allgemeinen	
Basis	base; basis; foot
trägt	bears; carries; sustains; wears
Soldaten	servicemen; soldiers
katholischen	
Bearbeitungen	adaptations; workings
dient	conduces; serves
Los	aweigh; come on; let's go; rid of; lot
